code,name,department_code,level_code
AF,Administració i finances,ADM,CF
GA,Gestió administrativa,ADM,CF
ASIX,Administració de sistemes informàtics en xarxa,INF,CF
DAM,Desenvolupament d'aplicacions multiplataforma,INF,CF
SMX,Sistemes microinformàtics i xarxes,INF,CF
ESO,ESO,ESO,ESO
BTX,Batxillerat,BTX,BTX
