name,degree_code
ASIX2,ASIX
ASIX1,ASIX
4C,ESO
4E,ESO
4A,ESO
4B,ESO
4F,ESO
4D,ESO
AF1,AF
SMX1A,SMX
SMX1B,SMX
SMX2A,SMX
SMX2B,SMX
SMX1C,SMX
SMX2C,SMX
AF2,AF
GA2,GA
GA1,GA
102,BTX
DAM2A,DAM
DAM2B,DAM
DAM1,DAM
202,BTX
201,BTX
ESO,ESO
Batxillerat,BTX
